ID,City,Prefecture,Date,Species,Susceptibles,Cases,Deaths,Geo_Lookup,Latitude,Longitude
22.16,Tahara,Aichi,2019-03-28,Swine,1014,0,0,Tahara Aichi,34.639112,137.183207
22.17,Minokamo,Gifu,2019-03-29,Swine,674,0,0,Minokamo Gifu,35.4406551,137.0155052
23.1,Tajimi,Gifu,2019-04-01,Wild boar:Sus scrofa(Suidae),0,1,1,Tajimi Gifu,35.3357572,137.127762
23.2,Yaotsu,Gifu,2019-04-02,Wild boar:Sus scrofa(Suidae),0,1,1,Yaotsu Gifu,35.4755935,137.141068
23.3,Kani,Gifu,2019-04-03,Wild boar:Sus scrofa(Suidae),0,1,0,Kani Gifu,35.4261093,137.0613166
23.4,Seki,Gifu,2019-04-03,Wild boar:Sus scrofa(Suidae),0,2,2,Seki Gifu,35.4958031,136.9181482
23.5,Yaotsu,Gifu,2019-04-03,Wild boar:Sus scrofa(Suidae),0,1,1,Yaotsu Gifu,35.4755935,137.141068
23.6,Shirakawa,Gifu,2019-04-03,Wild boar:Sus scrofa(Suidae),0,1,1,Shirakawa Gifu,35.5808397,137.1895472
24.1,Hichiso,Gifu,2019-04-03,Wild boar:Sus scrofa(Suidae),0,1,1,Hichiso Gifu,35.5425778,137.1198518
24.2,Ena,Gifu,2019-04-04,Wild boar:Sus scrofa(Suidae),0,1,1,Ena Gifu,35.4498094,137.4128269
24.3,Gujo,Gifu,2019-04-04,Wild boar:Sus scrofa(Suidae),0,1,0,Gujo Gifu,35.748417,136.9643095
24.4,Mitake,Gifu,2019-04-06,Wild boar:Sus scrofa(Suidae),0,1,1,Mitake Gifu,35.4316129,137.1295844
24.5,Minokamo,Gifu,2019-04-07,Wild boar:Sus scrofa(Suidae),0,1,1,Minokamo Gifu,35.4406551,137.0155052
24.6,Mitake,Gifu,2019-04-07,Wild boar:Sus scrofa(Suidae),0,1,1,Mitake Gifu,35.4316129,137.1295844
24.7,Gujo,Gifu,2019-04-08,Wild boar:Sus scrofa(Suidae),0,1,0,Gujo Gifu,35.748417,136.9643095
24.8,Minokamo,Gifu,2019-04-08,Wild boar:Sus scrofa(Suidae),0,1,0,Minokamo Gifu,35.4406551,137.0155052
24.9,Toki,Gifu,2019-04-08,Wild boar:Sus scrofa(Suidae),0,1,1,Toki Gifu,35.3524854,137.1834191
24.10,Ena,Gifu,2019-04-08,Swine,3521,0,0,Ena Gifu,35.4498094,137.4128269
24.11,Seto,Aichi,2019-04-09,Swine,4562,0,0,Seto Aichi,35.240984,137.116187
24.12,Kani,Gifu,2019-04-10,Wild boar:Sus scrofa(Suidae),0,1,0,Kani Gifu,35.4261093,137.0613166
24.13,Ena,Gifu,2019-04-10,Wild boar:Sus scrofa(Suidae),0,4,0,Ena Gifu,35.4498094,137.4128269
24.14,Kani,Gifu,2019-04-10,Wild boar:Sus scrofa(Suidae),0,1,0,Kani Gifu,35.4261093,137.0613166
24.15,Hichiso,Gifu,2019-04-10,Wild boar:Sus scrofa(Suidae),0,2,0,Hichiso Gifu,35.5425778,137.1198518
25.cluster 1,Kawabe,Gifu,2019-04-09,Wild boar:Sus scrofa(Suidae),0,5,0,Kawabe Gifu,35.4865125,137.0681577
25.cluster 2,Shirakawa,Gifu,2019-04-09,Wild boar:Sus scrofa(Suidae),0,2,1,Shirakawa Gifu,35.5808397,137.1895472
25.cluster 3,Mino,Gifu,2019-04-09,Wild boar:Sus scrofa(Suidae),0,4,0,Mino Gifu,35.5442619,136.9075182
25.cluster 4,Kani,Gifu,2019-04-09,Wild boar:Sus scrofa(Suidae),0,2,0,Kani Gifu,35.4261093,137.0613166
25.cluster 5,Minokamo,Gifu,2019-04-09,Wild boar:Sus scrofa(Suidae),0,10,1,Minokamo Gifu,35.4406551,137.0155052
25.cluster 6,Seki,Gifu,2019-04-09,Wild boar:Sus scrofa(Suidae),0,10,0,Seki Gifu,35.4958031,136.9181482
25.cluster 7,Gujo,Gifu,2019-04-10,Wild boar:Sus scrofa(Suidae),0,2,1,Gujo Gifu,35.748417,136.9643095
25.8,Gifu,Gifu,2019-04-11,Wild boar:Sus scrofa(Suidae),0,1,0,Gifu Gifu,35.4230949,136.7627526
25.9,Mitake,Gifu,2019-04-11,Wild boar:Sus scrofa(Suidae),0,4,2,Mitake Gifu,35.4316129,137.1295844
25.cluster 10,Ena,Gifu,2019-04-11,Wild boar:Sus scrofa(Suidae),0,10,1,Ena Gifu,35.4498094,137.4128269
25.11,Yamagata,Gifu,2019-04-13,Wild boar:Sus scrofa(Suidae),0,2,1,Yamagata Gifu,35.4094858,136.7569769
25.cluster 12,Hichiso,Gifu,2019-04-15,Wild boar:Sus scrofa(Suidae),0,2,1,Hichiso Gifu,35.5425778,137.1198518
25.13,Gifu,Gifu,2019-04-16,Swine,67,0,0,Gifu Gifu,35.4230949,136.7627526
25.14,Ena,Gifu,2019-04-16,Swine,9729,0,0,Ena Gifu,35.4498094,137.4128269
25.15,Yaotsu,Gifu,2019-04-17,Wild boar:Sus scrofa(Suidae),0,1,0,Yaotsu Gifu,35.4755935,137.141068
